transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,Day,Month,Year
1329,27-01-2022,10:39:00,119,Female,46,Electronics,4,25,9.25,100,27,1,2022
235,10-03-2022,10:13:00,132,Female,23,Electronics,2,500,275,1000,10,3,2022
300,08-01-2022,09:41:00,138,Female,19,Electronics,4,50,26.5,200,8,1,2022
964,26-08-2022,08:18:00,15,Male,24,Clothing,3,300,156,900,26,8,2022
1235,04-04-2022,06:44:00,87,Female,23,Electronics,2,500,220,1000,4,4,2022
1300,08-08-2022,08:57:00,7,Female,19,Electronics,4,50,24,200,8,8,2022
1964,02-08-2022,08:27:00,115,Male,24,Clothing,3,300,111,900,2,8,2022
269,19-09-2022,11:31:00,87,Male,25,Clothing,4,500,250,2000,19,9,2022
320,20-04-2022,08:35:00,57,Female,28,Electronics,4,300,159,1200,20,4,2022
673,04-07-2022,10:14:00,18,Female,43,Clothing,3,500,270,1500,4,7,2022
1269,01-01-2022,08:09:00,71,Male,25,Clothing,4,500,145,2000,1,1,2022
1320,02-11-2022,11:55:00,102,Female,28,Electronics,4,300,84,1200,2,11,2022
1673,14-06-2022,07:36:00,42,Female,43,Clothing,3,500,185,1500,14,6,2022
142,08-04-2022,10:05:00,61,Male,35,Electronics,4,300,138,1200,8,4,2022
223,15-01-2022,11:18:00,61,Female,64,Clothing,1,25,12,25,15,1,2022
666,03-03-2022,10:59:00,49,Male,51,Electronics,3,50,16,150,3,3,2022
1142,09-11-2022,09:49:00,2,Male,35,Electronics,4,300,114,1200,9,11,2022
1223,20-02-2022,07:40:00,106,Female,64,Clothing,1,25,9.75,25,20,2,2022
1666,08-12-2022,10:10:00,125,Male,51,Electronics,3,50,21,150,8,12,2022
107,06-10-2022,09:18:00,75,Female,21,Clothing,4,300,78,1200,6,10,2022
933,19-09-2022,07:53:00,81,Male,22,Beauty,1,30,12.9,30,19,9,2022
1107,31-12-2022,11:14:00,62,Female,21,Clothing,4,300,102,1200,31,12,2022
1933,12-01-2022,11:04:00,121,Male,22,Beauty,1,30,14.4,30,12,1,2022
237,11-04-2022,08:54:00,105,Female,50,Beauty,2,500,165,1000,11,4,2022
335,02-02-2022,09:23:00,2,Female,47,Beauty,4,30,10.8,120,2,2,2022
1237,23-02-2022,09:20:00,48,Female,50,Beauty,2,500,215,1000,23,2,2022
1335,27-05-2022,08:45:00,117,Female,47,Beauty,4,30,8.7,120,27,5,2022
63,03-02-2022,11:49:00,127,Male,57,Electronics,2,25,6.25,50,3,2,2022
195,14-08-2022,11:51:00,10,Male,52,Clothing,1,30,9.3,30,14,8,2022
333,06-10-2022,08:15:00,21,Female,54,Electronics,4,300,99,1200,6,10,2022
379,01-06-2022,07:28:00,76,Female,47,Clothing,1,25,8.5,25,1,6,2022
490,27-01-2022,06:07:00,43,Male,34,Clothing,3,50,18.5,150,27,1,2022
530,01-05-2022,07:52:00,8,Female,18,Electronics,4,30,9,120,1,5,2022
740,01-12-2022,06:58:00,33,Female,25,Beauty,4,50,13,200,1,12,2022
793,27-05-2022,10:53:00,1,Male,54,Beauty,1,30,14.7,30,27,5,2022
1063,04-08-2022,10:26:00,56,Male,57,Electronics,2,25,11,50,4,8,2022
1195,21-09-2022,07:07:00,55,Male,52,Clothing,1,30,12,30,21,9,2022
1333,01-11-2022,11:38:00,151,Female,54,Electronics,4,300,165,1200,1,11,2022
1379,02-01-2022,06:23:00,69,Female,47,Clothing,1,25,7.25,25,2,1,2022
1490,26-10-2022,07:15:00,155,Male,34,Clothing,3,50,17,150,26,10,2022
1530,10-12-2022,08:17:00,93,Female,18,Electronics,4,30,12.3,120,10,12,2022
1740,16-07-2022,06:01:00,66,Female,25,Beauty,4,50,27,200,16,7,2022
1793,11-12-2022,06:05:00,88,Male,54,Beauty,1,30,10.8,30,11,12,2022
85,03-09-2022,08:05:00,68,Male,31,Clothing,3,50,19,150,3,9,2022
232,12-08-2022,07:14:00,150,Female,43,Beauty,1,25,12.75,25,12,8,2022
240,05-11-2022,11:49:00,95,Female,23,Beauty,1,300,123,300,5,11,2022
993,07-09-2022,09:21:00,134,Female,48,Electronics,3,50,17,150,7,9,2022
1085,12-08-2022,09:29:00,76,Male,31,Clothing,3,50,17,150,12,8,2022
1232,23-05-2022,08:05:00,146,Female,43,Beauty,1,25,6.25,25,23,5,2022
1240,07-08-2022,07:42:00,144,Female,23,Beauty,1,300,90,300,7,8,2022
1993,29-12-2022,11:53:00,123,Female,48,Electronics,3,50,26.5,150,29,12,2022
366,29-10-2022,09:32:00,116,Male,57,Clothing,2,50,17.5,100,29,10,2022
372,19-06-2022,11:45:00,27,Female,24,Beauty,3,500,140,1500,19,6,2022
596,12-02-2022,08:44:00,87,Female,64,Electronics,1,300,93,300,12,2,2022
936,05-01-2022,10:51:00,143,Male,57,Beauty,4,50,19.5,200,5,1,2022
1366,01-01-2022,11:34:00,25,Male,57,Clothing,2,50,23.5,100,1,1,2022
1372,18-03-2022,10:53:00,60,Female,24,Beauty,3,500,145,1500,18,3,2022
1596,28-03-2022,06:22:00,7,Female,64,Electronics,1,300,141,300,28,3,2022
1936,19-06-2022,11:32:00,60,Male,57,Beauty,4,50,12.5,200,19,6,2022
284,12-11-2022,09:17:00,129,Male,43,Clothing,4,50,20.5,200,12,11,2022
434,26-10-2022,06:09:00,50,Female,43,Electronics,2,25,8.25,50,26,10,2022
775,06-05-2022,11:07:00,98,Female,46,Electronics,4,25,9.5,100,6,5,2022
977,26-07-2022,08:35:00,46,Female,35,Electronics,3,25,13.75,75,26,7,2022
1284,16-12-2022,11:43:00,145,Male,43,Clothing,4,50,18,200,16,12,2022
1434,04-02-2022,10:02:00,147,Female,43,Electronics,2,25,7,50,4,2,2022
1775,18-12-2022,08:04:00,78,Female,46,Electronics,4,25,13.75,100,18,12,2022
1977,05-08-2022,10:46:00,63,Female,35,Electronics,3,25,12,75,5,8,2022
649,21-06-2022,08:17:00,44,Female,58,Clothing,2,300,135,600,21,6,2022
1649,21-10-2022,07:44:00,72,Female,58,Clothing,2,300,75,600,21,10,2022
54,20-10-2022,10:17:00,142,Female,38,Electronics,3,500,200,1500,20,10,2022
68,15-12-2022,09:06:00,146,Male,25,Electronics,1,300,84,300,15,12,2022
192,08-11-2022,08:05:00,134,Male,62,Beauty,2,50,13,100,8,11,2022
1054,10-01-2022,09:24:00,49,Female,38,Electronics,3,500,140,1500,10,1,2022
1068,14-09-2022,10:11:00,136,Male,25,Electronics,1,300,111,300,14,9,2022
1192,29-03-2022,08:41:00,37,Male,62,Beauty,2,50,20.5,100,29,3,2022
331,16-08-2022,08:33:00,28,Male,28,Electronics,3,30,10.2,90,16,8,2022
346,05-09-2022,06:54:00,38,Male,59,Clothing,2,500,215,1000,5,9,2022
657,29-01-2022,08:53:00,46,Male,40,Clothing,1,25,8,25,29,1,2022
732,13-10-2022,08:45:00,136,Male,61,Electronics,2,500,250,1000,13,10,2022
972,16-08-2022,11:42:00,139,Male,49,Beauty,4,25,6.75,100,16,8,2022
1331,15-05-2022,09:29:00,36,Male,28,Electronics,3,30,13.8,90,15,5,2022
1346,10-04-2022,10:01:00,112,Male,59,Clothing,2,500,130,1000,10,4,2022
1657,09-08-2022,10:05:00,61,Male,40,Clothing,1,25,8,25,9,8,2022
1732,25-02-2022,07:05:00,55,Male,61,Electronics,2,500,215,1000,25,2,2022
1972,21-12-2022,06:39:00,5,Male,49,Beauty,4,25,9.25,100,21,12,2022
714,29-10-2022,08:50:00,20,Female,18,Clothing,1,500,190,500,29,10,2022
1714,23-11-2022,06:07:00,111,Female,18,Clothing,1,500,245,500,23,11,2022
193,27-03-2022,10:40:00,55,Male,35,Beauty,3,500,180,1500,27,3,2022
577,21-04-2022,11:55:00,45,Male,21,Beauty,4,500,215,2000,21,4,2022
848,24-01-2022,10:46:00,15,Female,63,Clothing,3,25,9.75,75,24,1,2022
945,01-10-2022,10:01:00,120,Male,30,Beauty,1,25,13.25,25,1,10,2022
1193,11-05-2022,11:31:00,50,Male,35,Beauty,3,500,145,1500,11,5,2022
1577,11-09-2022,06:22:00,145,Male,21,Beauty,4,500,160,2000,11,9,2022
1848,27-12-2022,10:16:00,63,Female,63,Clothing,3,25,12.5,75,27,12,2022
1945,19-04-2022,09:55:00,33,Male,30,Beauty,1,25,10.75,25,19,4,2022
11,27-02-2022,10:30:00,151,Male,23,Clothing,2,50,23.5,100,27,2,2022
821,23-11-2022,11:27:00,40,Male,49,Electronics,1,300,129,300,23,11,2022
1011,01-04-2022,06:48:00,15,Male,23,Clothing,2,50,19,100,1,4,2022
1821,03-10-2022,07:17:00,42,Male,49,Electronics,1,300,108,300,3,10,2022
133,23-06-2022,09:01:00,70,Male,20,Electronics,3,300,87,900,23,6,2022
1133,05-03-2022,06:42:00,58,Male,20,Electronics,3,300,159,900,5,3,2022
16,25-06-2022,10:33:00,82,Male,19,Clothing,3,500,180,1500,25,6,2022
42,08-12-2022,08:29:00,63,Male,22,Clothing,3,300,147,900,8,12,2022
292,10-10-2022,06:33:00,111,Male,20,Beauty,4,300,141,1200,10,10,2022
416,21-08-2022,09:29:00,55,Male,53,Electronics,4,500,245,2000,21,8,2022
584,31-12-2022,10:21:00,106,Female,27,Beauty,4,50,16.5,200,31,12,2022
861,30-09-2022,08:57:00,22,Female,41,Clothing,3,30,9.6,90,30,9,2022
1016,12-12-2022,07:39:00,52,Male,19,Clothing,3,500,200,1500,12,12,2022
1042,11-02-2022,06:21:00,7,Male,22,Clothing,3,300,150,900,11,2,2022
1292,15-05-2022,08:20:00,88,Male,20,Beauty,4,300,90,1200,15,5,2022
1416,29-12-2022,10:47:00,111,Male,53,Electronics,4,500,125,2000,29,12,2022
1584,03-09-2022,11:07:00,62,Female,27,Beauty,4,50,16.5,200,3,9,2022
1861,04-07-2022,10:41:00,145,Female,41,Clothing,3,30,10.2,90,4,7,2022
256,09-01-2022,08:05:00,3,Male,23,Clothing,2,500,270,1000,9,1,2022
1256,05-11-2022,09:58:00,29,Male,23,Clothing,2,500,190,1000,5,11,2022
44,03-03-2022,11:07:00,93,Female,22,Clothing,1,25,11.75,25,3,3,2022
257,10-12-2022,08:49:00,130,Male,19,Beauty,4,500,165,2000,10,12,2022
1044,20-02-2022,09:08:00,70,Female,22,Clothing,1,25,7.5,25,20,2,2022
1257,10-05-2022,11:55:00,29,Male,19,Beauty,4,500,255,2000,10,5,2022
268,14-04-2022,08:26:00,93,Female,28,Electronics,1,30,8.7,30,14,4,2022
287,26-08-2022,11:07:00,88,Male,54,Clothing,4,25,10,100,26,8,2022
966,07-11-2022,07:22:00,119,Male,60,Electronics,2,500,190,1000,7,11,2022
1268,09-06-2022,09:33:00,15,Female,28,Electronics,1,30,14.1,30,9,6,2022
1287,13-09-2022,08:03:00,120,Male,54,Clothing,4,25,7,100,13,9,2022
1966,20-07-2022,09:52:00,74,Male,60,Electronics,2,500,200,1000,20,7,2022
70,27-12-2022,10:48:00,147,Female,43,Clothing,1,300,84,300,27,12,2022
371,18-12-2022,10:01:00,32,Female,20,Beauty,1,25,13,25,18,12,2022
900,10-11-2022,08:41:00,130,Male,21,Clothing,2,30,15.6,60,10,11,2022
1070,14-07-2022,11:12:00,102,Female,43,Clothing,1,300,120,300,14,7,2022
1371,06-05-2022,06:52:00,41,Female,20,Beauty,1,25,13.5,25,6,5,2022
1900,21-01-2022,06:43:00,65,Male,21,Clothing,2,30,10.8,60,21,1,2022
8,27-12-2022,11:19:00,148,Male,30,Electronics,4,25,11,100,27,12,2022
41,11-10-2022,10:36:00,88,Male,34,Clothing,2,25,13.25,50,11,10,2022
454,12-03-2022,07:20:00,13,Female,46,Beauty,1,25,13,25,12,3,2022
780,06-07-2022,11:30:00,107,Male,52,Electronics,2,25,13.25,50,6,7,2022
920,20-08-2022,10:25:00,99,Female,28,Beauty,3,25,6.75,75,20,8,2022
1008,10-01-2022,08:51:00,116,Male,30,Electronics,4,25,13,100,10,1,2022
1041,10-05-2022,07:27:00,74,Male,34,Clothing,2,25,11,50,10,5,2022
1454,25-06-2022,11:18:00,22,Female,46,Beauty,1,25,6.75,25,25,6,2022
1780,11-12-2022,10:00:00,32,Male,52,Electronics,2,25,10.5,50,11,12,2022
1920,24-10-2022,08:33:00,23,Female,28,Beauty,3,25,9.25,75,24,10,2022
396,15-12-2022,07:11:00,29,Female,55,Beauty,1,30,10.8,30,15,12,2022
1396,07-06-2022,06:23:00,9,Female,55,Beauty,1,30,8.4,30,7,6,2022
168,29-04-2022,09:20:00,138,Male,53,Clothing,1,300,102,300,29,4,2022
400,08-03-2022,09:52:00,2,Male,53,Clothing,4,50,24,200,8,3,2022
611,21-07-2022,08:13:00,11,Male,51,Beauty,3,500,180,1500,21,7,2022
800,19-09-2022,07:33:00,111,Male,32,Clothing,4,300,87,1200,19,9,2022
1168,10-07-2022,07:56:00,68,Male,53,Clothing,1,300,150,300,10,7,2022
1400,12-09-2022,11:54:00,115,Male,53,Clothing,4,50,20,200,12,9,2022
1611,17-11-2022,07:30:00,125,Male,51,Beauty,3,500,180,1500,17,11,2022
1800,21-08-2022,10:53:00,1,Male,32,Clothing,4,300,111,1200,21,8,2022
272,10-06-2022,11:57:00,112,Female,61,Electronics,2,50,27.5,100,10,6,2022
473,25-09-2022,10:09:00,1,Male,64,Beauty,1,50,14.5,50,25,9,2022
506,29-04-2022,07:13:00,9,Male,34,Beauty,3,500,200,1500,29,4,2022
766,04-01-2022,08:02:00,128,Male,38,Electronics,3,300,165,900,4,1,2022
1272,14-04-2022,11:59:00,66,Female,61,Electronics,2,50,17,100,14,4,2022
1473,19-03-2022,09:06:00,30,Male,64,Beauty,1,50,13,50,19,3,2022
1506,09-01-2022,07:31:00,52,Male,34,Beauty,3,500,245,1500,9,1,2022
1766,22-11-2022,06:08:00,6,Male,38,Electronics,3,300,129,900,22,11,2022
135,18-04-2022,07:22:00,104,Male,20,Clothing,2,25,13,50,18,4,2022
1135,14-01-2022,08:16:00,124,Male,20,Clothing,2,25,12.5,50,14,1,2022
2,24-06-2022,10:07:00,104,Female,26,Clothing,2,500,135,1000,24,6,2022
158,21-01-2022,11:38:00,141,Female,44,Electronics,2,300,132,600,21,1,2022
185,27-06-2022,09:48:00,57,Male,24,Clothing,1,25,7,25,27,6,2022
433,29-07-2022,08:48:00,144,Male,29,Beauty,4,50,20,200,29,7,2022
1002,02-03-2022,09:24:00,69,Female,26,Clothing,2,500,270,1000,2,3,2022
1158,24-02-2022,09:29:00,77,Female,44,Electronics,2,300,138,600,24,2,2022
1185,04-10-2022,10:28:00,153,Male,24,Clothing,1,25,10.25,25,4,10,2022
1433,16-01-2022,11:41:00,113,Male,29,Beauty,4,50,15.5,200,16,1,2022
152,16-06-2022,11:58:00,120,Male,43,Electronics,4,500,210,2000,16,6,2022
753,06-07-2022,10:07:00,70,Female,32,Clothing,1,30,15.9,30,6,7,2022
763,23-04-2022,09:43:00,58,Male,34,Clothing,2,25,11.5,50,23,4,2022
932,08-10-2022,08:33:00,120,Female,45,Beauty,4,25,7.75,100,8,10,2022
1152,26-12-2022,07:48:00,87,Male,43,Electronics,4,500,170,2000,26,12,2022
1753,17-07-2022,07:40:00,28,Female,32,Clothing,1,30,10.5,30,17,7,2022
1763,30-06-2022,11:37:00,93,Male,34,Clothing,2,25,13.5,50,30,6,2022
1932,08-11-2022,07:07:00,96,Female,45,Beauty,4,25,6.25,100,8,11,2022
399,07-12-2022,09:25:00,136,Female,64,Beauty,2,30,12.9,60,7,12,2022
500,14-10-2022,06:11:00,120,Female,60,Beauty,4,25,11.5,100,14,10,2022
514,04-11-2022,08:35:00,139,Female,18,Electronics,1,300,96,300,4,11,2022
1399,28-01-2022,09:32:00,15,Female,64,Beauty,2,30,16.2,60,28,1,2022
1500,20-04-2022,08:36:00,53,Female,60,Beauty,4,25,8.5,100,20,4,2022
1514,12-07-2022,10:55:00,59,Female,18,Electronics,1,300,75,300,12,7,2022
947,31-07-2022,07:09:00,4,Male,50,Beauty,1,300,129,300,31,7,2022
1947,05-03-2022,06:27:00,134,Male,50,Beauty,1,300,75,300,5,3,2022
220,07-05-2022,06:44:00,138,Male,64,Beauty,1,500,140,500,7,5,2022
